,底本/出典,史料名,ID,記述内容,記述場所,,発生場所,年月日（作成）,年月日（作成）2,年月日（被害）,年月日（被害）3,伝聞・体験,被害種別,緯度経度,X,Y,座標レベル,座標に関する備考,備考
1,日本地震史料,〔二條家内々番所日次記〕 ,J0400161 ,南都表は別而甚敷,二条家,,南都,嘉永七年十二月九日,1855年1月26日,嘉永7年6月15日,1854年7月9日,伝聞,全般,"34.685437,135.833130",,,１,便宜的に奈良県庁に置く,
2,日本地震史料,〔二條家内々番所日次記〕 ,J0400161 ,大乘院御門主樣御建物向、悉被及御大破、差當御住居之御場所無之,二条家,,大乗院門主建物,嘉永七年十二月九日,1855年1月26日,嘉永7年6月15日,1854年7月9日,,建物被害,,,,,,
3,日本地震史料,〔脇坂安宅日記〕,J0400162,一今曉丑刻頃、強き地震有之、其後も少々づ〻度々有之候,京都所司代屋敷？,,京都所司代屋敷？,嘉永七年六月十五日,1854年7月9日,嘉永7年6月15日,1854年7月9日,体験,余震,"35.01715211856367, 135.75044219023638",,,３,京都所司代屋敷跡に置く,京都所司代時ヵ
4,日本地震史料,〔脇坂安宅日記〕,J0400162,尤今曉より引續度々震候に付、いまだ皇居へ還御無之旨、爲心得申越候事。,京都所司代屋敷？,,京都,嘉永七年六月十五日,1854年7月9日,嘉永7年6月15日,1854年7月9日,,余震,"35.02109871044051, 135.75533444196796",,,１,便宜的に京都府庁に置く,
5,日本地震史料,〔脇坂安宅日記〕,J0400162,動搖相止に付、禁裏、准后、敏宮、還御被遊候旨、御附より申越之。,京都所司代屋敷？,,,嘉永七年六月十五日,1854年7月9日,嘉永7年6月15日,1854年7月9日,,余震,,,,,,
6,日本地震史料,〔脇坂安宅日記〕,J0400162,今曉丑刻前地震強、其後度々動搖有之候に付、庭上に假屋を被構候,所司代屋敷,,禁裏御所,嘉永七年六月十五日,1854年7月9日,嘉永7年6月15日,1854年7月9日,体験,余震,"35.02612143981165, 135.76205033681532",,,３,,傳奏衆より到来の雑記
7,日本地震史料,〔脇坂安宅日記〕,J0400162,一近年に無之地震に有之候得共、御所向、幷二條御城内外、御別條無御座候。,,,禁裏御所,嘉永七年六月十五日,1854年7月9日,嘉永7年6月15日,1854年7月9日,体験,無被害,"35.02612143981165, 135.76205033681532",,,３,,脇坂淡路守から安倍伊勢守ほか宛の小奉書
8,日本地震史料,〔脇坂安宅日記〕,J0400162,一近年に無之地震に有之候得共、御所向、幷二條御城内外、御別條無御座候。,,,二条城内外,嘉永七年六月十五日,1854年7月9日,嘉永7年6月15日,1854年7月9日,体験,無被害,"35.01440561408228, 135.7482028869909",,,３,,脇坂淡路守から安倍伊勢守ほか宛の小奉書
9,日本地震史料,〔脇坂安宅日記〕,J0400162,十六日晴、折々雨、昨日強き地震後、時々動搖有之。,所司代屋敷,,所司代屋敷,嘉永七年六月十六日,1854年7月10日,嘉永7年6月16日,1854年7月10日,体験,余震,,,,,,所司代時ヵ
10,日本地震史料,〔脇坂安宅日記〕,J0400162,一昨曉之地震に付、奈良表倒家、怪我人等之届有之、,所司代屋敷,,,嘉永七年六月十六日,1854年7月10日,嘉永7年6月15日,1854年7月9日,伝聞,建物被害,"34.685437,135.833130",,,１,便宜的に奈良県庁に置く,所司代時ヵ
11,日本地震史料,〔脇坂安宅日記〕,J0400162,一昨曉之地震に付、奈良表倒家、怪我人等之届有之、,所司代屋敷,,,嘉永七年六月十六日,1854年7月10日,嘉永7年6月15日,1854年7月9日,伝聞,人的被害,"34.685437,135.833130",,,１,便宜的に奈良県庁に置く,所司代時ヵ
12,日本地震史料,〔脇坂安宅日記〕,J0400162,一右同斷に付、怪我人も有之、破損所等も取調之上,所司代屋敷,,,嘉永七年六月十六日,1854年7月10日,嘉永7年6月15日,1854年7月9日,伝聞,人的被害,,,,,,所司代時ヵ
13,日本地震史料,〔脇坂安宅日記〕,J0400162,一右同斷に付、怪我人も有之、破損所等も取調之上,所司代屋敷,,,嘉永七年六月十六日,1854年7月10日,嘉永7年6月15日,1854年7月9日,伝聞,建物被害,,,,,,所司代時ヵ
14,日本地震史料,〔脇坂安宅日記〕,J0400162,但大津町潰家、且御役所破損所等之儀は、跡ゟ可申聞旨清右衞門申聞候に付、今日宿次に注進見合候事。,所司代屋敷,,大津町,嘉永七年六月十六日,1854年7月10日,嘉永7年6月15日,1854年7月9日,伝聞,建物被害,,,,,,所司代時ヵ
15,日本地震史料,〔脇坂安宅日記〕,J0400162,十八日、雨、折々地震。,所司代屋敷,,,嘉永七年六月十八日,1854年7月12,嘉永7年6月18日,1854年7月12日,体験,余震,,,,,,所司代時ヵ
16,日本地震史料,〔脇坂安宅日記〕,J0400162,奈良表、去る十五日之大地震ゟ、引續時々動搖有之、追々間遠に者相成候得共、今以震止不申,所司代屋敷,,奈良,嘉永七年六月十九日,1854年7月13日,嘉永7年6月15日,1854年7月9日,体験,余震,"34.685437,135.833130",,,１,便宜的に奈良県庁に置く,所司代時ヵ
17,日本地震史料,〔脇坂安宅日記〕,J0400162,倒家凡四百軒程、死人五十人許有之,所司代屋敷,,奈良,嘉永七年六月十九日,1854年7月13日,嘉永7年6月15日,1854年7月9日,伝聞,建物被害,"34.685437,135.833130",,,１,便宜的に奈良県庁に置く,戸田能登守からの情報か？
18,日本地震史料,〔脇坂安宅日記〕,J0400162,倒家凡四百軒程、死人五十人許有之,所司代屋敷,,奈良,嘉永七年六月十九日,1854年7月13日,嘉永7年6月15日,1854年7月9日,伝聞,人的被害,"34.685437,135.833130",,,１,便宜的に奈良県庁に置く,戸田能登守からの情報か？
19,日本地震史料,〔脇坂安宅日記〕,J0400162,地震之例者無之候得共、出火之節、二百軒以上類燒之節は、,所司代屋敷,,奈良,嘉永七年六月十九日,1854年7月13日,嘉永7年6月15日,1854年7月9日,伝聞,火災,"34.685437,135.833130",,,１,便宜的に奈良県庁に置く,
20,日本地震史料,〔聞集錄〕,J0400163,嘉永七甲寅年六月十四（五カ）日、曉丑上刻、畿内、伊賀、伊勢、國々大地震,,,畿内,,,嘉永7年6月15日,1854年7月9日,伝聞,地震動,,,,,,
21,日本地震史料,〔聞集錄〕,J0400163,嘉永七甲寅年六月十四（五カ）日、曉丑上刻、畿内、伊賀、伊勢、國々大地震,,,伊賀,,,嘉永7年6月15日,1854年7月9日,伝聞,地震動,"34.80255486549232, 136.15790179133646",,,１,便宜的に三重県伊賀市伊賀国庁跡に置く,
22,日本地震史料,〔聞集錄〕,J0400163,嘉永七甲寅年六月十四（五カ）日、曉丑上刻、畿内、伊賀、伊勢、國々大地震,,,伊勢,,,嘉永7年6月15日,1854年7月9日,伝聞,地震動,"34.48751587674588, 136.70941260044145",,,１,便宜的に伊勢市役所に置く,
23,日本地震史料,〔聞集錄〕,J0400163,南都地震　一當月十四日夜九ツ半時頃ゟゆり出し、十六日朝まで大小ともゆり申候,,,南都,,,嘉永7年6月15日,1854年7月9日,伝聞,地震動,"34.685437,135.833130",,,１,便宜的に奈良県庁に置く,
24,日本地震史料,〔聞集錄〕,J0400163,夫に付町家たをれ、怪我人數不知、死人凡貳百人許、土藏寺（幷カ）高塀不殘崩申候,,,南都,,,嘉永7年6月15日,1854年7月9日,伝聞,建物被害,"34.685437,135.833130",,,１,便宜的に奈良県庁に置く,
25,日本地震史料,〔聞集錄〕,J0400163,夫に付町家たをれ、怪我人數不知、死人凡貳百人許、土藏寺（幷カ）高塀不殘崩申候,,,南都,,,嘉永7年6月15日,1854年7月9日,伝聞,人的被害,"34.685437,135.833130",,,１,便宜的に奈良県庁に置く,
26,日本地震史料,〔聞集錄〕,J0400163,興福寺四町四方之高塀、不殘崩る、,,,興福寺,,,嘉永7年6月15日,1854年7月9日,,建物被害,"34.647274614850936, 135.51047238332964",,,３,,
27,日本地震史料,〔聞集錄〕,J0400163,元興寺大塔大に損じ、石燈籠、石鳥居、不殘たをれ申候、,,,元興寺,,,嘉永7年6月15日,1854年7月9日,,建物被害,"34.67803803622378, 135.8312273346349",,,３,,
